Date,Closing Price (USD)
1/1/14,769.09849
1/2/14,804.02719
1/3/14,813.31748
1/4/14,871.11583
1/5/14,970.65083
1/6/14,962.46447
1/7/14,855.75933
1/8/14,860.84166
1/9/14,847.5325
1/10/14,892.26115
1/11/14,916.69666
1/12/14,873.27168
1/13/14,863.69888
1/14/14,853.25666
1/15/14,874.07416
1/16/14,842.19173
1/17/14,834.86666
1/18/14,838.42916
1/19/14,881.87583
1/20/14,873.28916
1/21/14,874.13266
1/22/14,864.56116
1/23/14,838.14997
1/24/14,834.57416
1/25/14,858.12641
1/26/14,887.08337
1/27/14,830.53133
1/28/14,832.89496
1/29/14,832.87399
1/30/14,841.48914
1/31/14,847.36383
2/1/14,854.7225
2/2/14,856.03366
2/3/14,847.70697
2/4/14,844.28836
2/5/14,802.75333
2/6/14,748.43559
2/7/14,692.66914
2/8/14,668.86463
2/9/14,700.44843
2/10/14,694.3125
2/11/14,665.7975
2/12/14,645.615
2/13/14,578.4125
2/14/14,641.91
2/15/14,656.2725
2/16/14,611.04499
2/17/14,634.99
2/18/14,618.79
2/19/14,619.8425
2/20/14,545.7625
2/21/14,561.535
2/22/14,622.22
2/23/14,572.7675
2/24/14,501.155
2/25/14,550.6025
2/26/14,573.1025
2/27/14,567.2925
2/28/14,551.73
3/1/14,560.195
3/2/14,567.7
3/3/14,666.1475
3/4/14,660.84
3/5/14,662.0225
3/6/14,651.285
3/7/14,612.33
3/8/14,611.1625
3/9/14,637.615
3/10/14,626
3/11/14,633.74749
3/12/14,631.755
3/13/14,636.41414
3/14/14,628.18751
3/15/14,632.95333
3/16/14,630.34833
3/17/14,617.24333
3/18/14,616.86665
3/19/14,601.015
3/20/14,581.33333
3/21/14,570.36168
3/22/14,562.95333
3/23/14,557.16833
3/24/14,573.34998
3/25/14,572.49161
3/26/14,570.54833
3/27/14,509.70665
3/28/14,499.24998
3/29/14,486.80845
3/30/14,472.4783
3/31/14,464.88
4/1/14,480.16581
4/2/14,427.87498
4/3/14,432.99716
4/4/14,453.87148
4/5/14,462.445
4/6/14,456.46948
4/7/14,452.81
4/8/14,450.48083
4/9/14,426.98333
4/10/14,374.59166
4/11/14,438.24666
4/12/14,423.51566
4/13/14,409.03166
4/14/14,455.28316
4/15/14,517.09666
4/16/14,522.455
4/17/14,490.8785
4/18/14,469.38332
4/19/14,507.80663
4/20/14,505.09665
4/21/14,497.65001
4/22/14,487.84
4/23/14,487.11333
4/24/14,469.08816
4/25/14,448.77834
4/26/14,452.14829
4/27/14,426.78166
4/28/14,432.60498
4/29/14,444.85668
4/30/14,454.55666
5/1/14,453.59833
5/2/14,441.97833
5/3/14,438.29035
5/4/14,432.78748
5/5/14,418.61831
5/6/14,428.42593
5/7/14,442.57666
5/8/14,439.04
5/9/14,449.04333
5/10/14,449.74166
5/11/14,434.27
5/12/14,437
5/13/14,438.88
5/14/14,445.045
5/15/14,443.18
5/16/14,445.60666
5/17/14,445.15666
5/18/14,444.73833
5/19/14,455.65333
5/20/14,489.86999
5/21/14,490.18666
5/22/14,522.31
5/23/14,512.30833
5/24/14,533.92999
5/25/14,579.59333
5/26/14,581.51
5/27/14,572.44833
5/28/14,562.4
5/29/14,571.845
5/30/14,612.12666
5/31/14,638.16333
6/1/14,634.98333
6/2/14,660.24666
6/3/14,627.79833
6/4/14,642.89166
6/5/14,652.52666
6/6/14,648.60166
6/7/14,652.59166
6/8/14,652.11
6/9/14,644.085
6/10/14,642.00666
6/11/14,632.55
6/12/14,585.48333
6/13/14,588.52333
6/14/14,570.28833
6/15/14,589.06666
6/16/14,592.25666
6/17/14,610.41333
6/18/14,601.88666
6/19/14,594.09333
6/20/14,582.04499
6/21/14,599.57
6/22/14,592.405
6/23/14,584.64166
6/24/14,575.905
6/25/14,571.76666
6/26/14,582.43166
6/27/14,597.66833
6/28/14,598.73333
6/29/14,597.51333
6/30/14,647.12249
7/1/14,637.85625
7/2/14,642.65125
7/3/14,643.95124
7/4/14,628.41625
7/5/14,631.03
7/6/14,631.29875
7/7/14,621.24249
7/8/14,620.72
7/9/14,621.3075
7/10/14,616.83124
7/11/14,634.35749
7/12/14,627.69
7/13/14,621.42499
7/14/14,618.73875
7/15/14,619.8075
7/16/14,614.68875
7/17/14,623.49749
7/18/14,623.99625
7/19/14,623.00625
7/20/14,617.96124
7/21/14,622.10749
7/22/14,618.4475
