Date,bitcoin_investing,binance,coinbase,bitstamp,poloniex,kraken,itBit
16-May-21,"46,426.40","46,393.80","46,440.70","46,444.80","46,395.30","46,451.40","46,474.80"
15-May-21,"46,708.80","46,717.80","46,738.80","46,726.50","46,774.30","46,771.10","46,723.00"
14-May-21,"49,839.80","49,820.00","49,868.60","49,880.40","49,832.00","49,899.00","49,880.50"
13-May-21,"49,704.60","49,704.50","49,691.90","49,684.70","49,692.50","49,700.10","49,693.50"
12-May-21,"49,384.20","49,322.10","49,468.10","49,419.40","49,502.50","49,491.40","49,593.80"
11-May-21,"56,695.70","56,670.00","56,767.60","56,770.90","56,654.00","56,739.80","56,757.30"
10-May-21,"55,848.90","55,833.60","55,864.80","55,880.70","55,810.50","55,900.00","55,859.30"
9-May-21,"58,238.30","58,214.40","58,294.70","58,291.40","58,235.30","58,293.10","58,271.30"
8-May-21,"58,840.10","58,795.60","58,962.10","58,984.80","58,773.10","58,953.80","58,971.30"
7-May-21,"57,337.20","57,322.20","57,372.80","57,381.70","57,313.90","57,383.00","57,370.00"
6-May-21,"56,405.40","56,392.90","56,448.60","56,447.40","56,409.10","56,421.10","56,424.00"
5-May-21,"57,441.30","57,407.00","57,515.70","57,509.90","57,424.00","57,497.10","57,519.30"
4-May-21,"53,741.50","54,032.10","53,184.90","53,352.00","53,355.60","53,265.30","53,244.00"
3-May-21,"57,169.80","57,160.50","57,197.50","57,222.10","57,156.00","57,193.50","57,193.30"
2-May-21,"56,603.80","56,600.40","56,625.20","56,624.50","56,576.00","56,618.50","56,614.80"
1-May-21,"57,807.10","57,791.60","57,858.80","57,851.90","57,794.80","57,859.20","57,871.00"
30-Apr-21,"57,720.30","57,700.60","57,801.50","57,775.30","57,655.70","57,780.00","57,815.50"
29-Apr-21,"53,560.80","53,549.30","53,583.60","53,594.00","53,550.90","53,579.60","53,586.50"
28-Apr-21,"54,841.40","54,813.20","54,867.60","54,893.90","54,827.00","54,899.30","54,898.50"
